Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
Control10_20190721_MiFish_S52.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09529860228716598	0.09529860228716598	0.0	0.0	0.34942820838627525	0.6988564167725505	1.3659466327827126	1.6518424396442102	0.8576874205844939	0.7623888182973279	9.212198221092713	11.054637865311262	4.44726810673441	50.698856416772756	12.865311308767433	2.986022871664536	1.3977128335451008	0.6988564167725506	0.4447268106734412	0.19059720457433196	0.06353240152477732	0.0	0.0	0.06353240152477732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Control12_20190731_MiFish_S53.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6696428571428572	1.785714285714286	3.7946428571428577	4.017857142857143	34.59821428571429	37.94642857142857	5.357142857142858	2.232142857142857	2.9017857142857144	1.785714285714286	0.6696428571428572	2.232142857142857	1.1160714285714286	0.4464285714285715	0.4464285714285715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Control9_20190715_MiFish_S51.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03298878381350245	0.1649439190675122	0.18693644160984715	0.03298878381350245	0.19793270288101464	0.3298878381350244	0.19793270288101464	0.17594018033867967	0.2529140092368521	0.6927644600835511	2.7050802727072	1.8693644160984697	4.77237739168669	65.03188915768725	15.130855509126592	3.5517923905871025	2.0453045964371497	1.429513965251772	0.6487794149988813	0.30789531559268946	0.13195513525400976	0.02199252254233496	0.02199252254233496	0.04398504508466992	0.02199252254233496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ExtNeg_20190910_MiFish_S55.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24330900243309003	0.24330900243309003	0.7299270072992701	1.338199513381995	3.16301703163017	3.4063260340632597	1.3381995133819948	1.094890510948905	3.64963503649635	12.530413625304138	17.396593673965935	9.610705596107056	4.257907542579075	4.3795620437956195	6.569343065693431	10.340632603406329	9.124087591240876	3.8929440389294405	2.3114355231143553	1.581508515815085	1.824817518248175	0.9732360097323601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ExtNeg_20190918_MiFish_S56.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.2857142857142857	0.47619047619047616	4.190476190476191	4.476190476190476	1.9047619047619049	2.1904761904761902	2.0952380952380953	3.7142857142857144	8.380952380952381	10.571428571428571	11.619047619047617	10.857142857142858	6.476190476190475	7.238095238095238	5.428571428571429	1.3333333333333333	2.571428571428571	4.761904761904761	4.095238095238096	3.8095238095238098	2.3809523809523805	0.2857142857142857	0.0	0.0	0.0	0.19047619047619047	0.19047619047619047	0.19047619047619047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ExtNeg_20191028_MiFish_S57.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1811023622047243	17.32283464566929	18.503937007874015	5.118110236220471	6.299212598425195	4.330708661417321	5.118110236220471	9.842519685039369	5.5118110236220454	4.330708661417321	6.299212598425196	4.724409448818896	4.724409448818896	3.1496062992125977	1.9685039370078732	0.7874015748031494	0.0	0.0	0.0	0.7874015748031494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ExtNeg_20191031_MiFish_S58.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4925373134328361	1.4925373134328361	0.0	0.0	8.208955223880599	6.716417910447762	0.0	2.2388059701492544	3.73134328358209	17.16417910447762	17.910447761194035	5.9701492537313445	4.477611940298509	6.716417910447762	6.716417910447762	5.9701492537313445	3.73134328358209	0.0	1.4925373134328361	3.73134328358209	2.2388059701492544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GU190706-CTD11-220_MiFish_S30.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00034427950905742275	0.00034427950905742275	0.00017213975452871137	0.0005164192635861341	0.0018361573816395881	0.002295196727049485	0.0015492577907584024	0.0019509172179920618	0.00338541517239799	0.010041485680841488	0.019337032425391948	0.053822363249310425	1.3113606499997301	1.4537202269949776	1.6306225147323106	1.7631701257194095	1.3930696534827025	41.03593704275364	42.79222157829201	4.211685994135826	1.6903550095537674	0.45341611342862465	0.28730125030842046	0.8402715217728162	0.7976956224860483	0.12738341835124628	0.053650223494781726	0.03012445704252449	0.017213975452871132	0.007803668871968247	0.0032706553360455164	0.0018361573816395881	0.0009180786908197941	0.00045903934540989704	0.00017213975452871137	0.00017213975452871137	0.0	0.00017213975452871137	0.00017213975452871137	0.0	0.0	0.0	0.0	0.0	0.00011475983635247426	0.00011475983635247426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GU190707-CTD13-310_MiFish_S31.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022416800046624546	0.00022416800046624546	0.0	0.0	0.0	0.00022416800046624546	0.00022416800046624546	0.00014944533364416365	0.00014944533364416365	0.0	0.00022416800046624546	0.00022416800046624546	0.0008966720018649817	0.0017933440037299637	0.0019427893373741272	0.0017933440037299637	0.0038855786747482536	0.0046328053429690735	0.004856973343435319	0.008368938684073164	0.010760064022379773	0.015168701364882596	0.018381776038232135	0.02749794139052618	0.038556896080194164	0.049092792102107555	0.06366371213241355	0.09108693085611835	0.13225912027508505	0.17260936035900712	0.2409058778343882	0.3219799713363554	0.4650738783006547	0.7866802363028378	5.978859463102526	6.509764010873682	2.1064319777145535	2.362954892914588	7.25415121775587	25.05047516143979	23.9819410258832	6.584038341694928	2.6648344668757344	1.6958309235272913	4.457431243937678	4.261433688863281	0.9020520338761214	0.6156400519471181	0.49376738236032813	0.40439907284112064	0.3431264860470073	0.29216562727434187	0.2629490645469046	0.2345544511545102	0.18486387771782775	0.16909739501836937	0.1483244936418318	0.12426379492512284	0.10595674155371307	0.08936830951921043	0.07263043215106363	0.05768589878664684	0.04483360009324894	0.03213074673349521	0.022640968047090825	0.013076466693864303	0.007920602683140675	0.0034372426738157624	0.0020922346710182905	0.0011955626691533092	0.00014944533364416365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
