Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sample_134716_R2	9.1	60.4
Sample_134717_R2	14.499999999999998	68.50000000000004
Sample_134718_R2	19.0	56.30000000000004
Sample_134719_R2	12.1	68.50000000000006
Sample_134720_R2	15.7	59.800000000000054
Sample_134721_R2	6.7	70.40000000000008
Sample_134722_R2	12.5	59.60000000000008
Sample_134723_R2	9.6	70.20000000000005
Sample_134767_R2	8.5	62.10000000000002
Sample_134768_R2	13.600000000000001	61.00000000000005
Sample_134771_R2	9.5	63.30000000000004
Sample_134772_R2	13.5	63.90000000000009
Sample_134777_R2	12.7	57.00000000000003
Sample_134778_R2	12.1	65.70000000000009
Sample_134789_R2	8.799999999999999	62.90000000000005
Sample_134790_R2	10.299999999999999	66.6000000000001
