Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Sample_134716_R2										33.800000000000004	9.1	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134717_R2										21.099999999999998	29.599999999999998	14.499999999999998	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134718_R2										21.8	7.8	19.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134719_R2										32.300000000000004	20.7	12.1	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134720_R2										22.0	11.600000000000001	15.7	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134721_R2										49.6	6.7	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134722_R2										27.500000000000004	11.200000000000001	12.5	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134723_R2										48.3	9.6	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134767_R2										19.2	14.7	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134768_R2										21.6	19.7	13.600000000000001	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134771_R2										18.3	24.8	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134772_R2										28.7	13.8	13.5	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134777_R2										25.6	5.1	12.7	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134778_R2										31.7	14.399999999999999	12.1	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134789_R2										21.8	16.400000000000002	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134790_R2										32.4	16.8	10.299999999999999	0.0	0.0	0.0	0.0																																																																																																																																							
