Sample	Unique Reads	Duplicate Reads
Sample_134716_R2	387.0	613.0
Sample_134717_R2	231.0	769.0
Sample_134718_R2	336.0	664.0
Sample_134719_R2	251.0	749.0
Sample_134720_R2	328.0	672.0
Sample_134721_R2	315.0	685.0
Sample_134722_R2	357.0	643.0
Sample_134723_R2	276.0	724.0
Sample_134767_R2	414.0	586.0
Sample_134768_R2	325.0	675.0
Sample_134771_R2	369.0	631.0
Sample_134772_R2	301.0	699.0
Sample_134777_R2	392.0	608.0
Sample_134778_R2	303.0	697.0
Sample_134789_R2	387.0	613.0
Sample_134790_R2	301.0	699.0
