GEBM01020676.5895.7166	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GDIY01028234.4018.5811	D_0__Eukaryota;D_1__Plantae;D_2__Streptophyta;D_3__Streptophytina;D_4__;D_5__;D_6__Caryophyllales;D_7__;D_8__Caryophyllaceae;D_9__;D_10__Silene
GAAA01003669.5114.6921	D_0__Eukaryota;D_1__Metazoa;D_2__Chordata;D_3__Craniata;D_4__;D_5__;D_6__Coelacanthiformes;D_7__;D_8__Coelacanthidae;D_9__;D_10__Latimeria
GAYE02025049.354.2233	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Thysanoptera;D_7__Terebrantia;D_8__Thripidae;D_9__Thripinae;D_10__Frankliniella
GABG01034054.4074.5874	D_0__Eukaryota;D_1__Plantae;D_2__Streptophyta;D_3__Streptophytina;D_4__;D_5__asterids;D_6__Solanales;D_7__;D_8__Convolvulaceae;D_9__;D_10__Ipomoea
GATJ02022059.172.2193	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Diptera;D_7__Nematocera;D_8__Bibionidae;D_9__Bibioninae;D_10__Bibio
GEEF01054809.5881.7740	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Coleoptera;D_7__Polyphaga;D_8__Chrysomelidae;D_9__Chrysomelinae;D_10__Leptinotarsa
GEEF01054810.5881.7790	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Coleoptera;D_7__Polyphaga;D_8__Chrysomelidae;D_9__Chrysomelinae;D_10__Leptinotarsa
GABG01045656.1500.3269	D_0__Eukaryota;D_1__Plantae;D_2__Streptophyta;D_3__Streptophytina;D_4__;D_5__asterids;D_6__Solanales;D_7__;D_8__Convolvulaceae;D_9__;D_10__Ipomoea
GBZI01036126.4376.6173	D_0__Eukaryota;D_1__Plantae;D_2__Streptophyta;D_3__Streptophytina;D_4__;D_5__rosids;D_6__Cucurbitales;D_7__;D_8__Cucurbitaceae;D_9__;D_10__Cucurbita
GBSB01000173.243.1571	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Coleoptera;D_7__Polyphaga;D_8__Chrysomelidae;D_9__Galerucinae;D_10__Diabrotica
GEMA01036227.45.1861	D_0__Eukaryota;D_1__Metazoa;D_2__Chordata;D_3__Craniata;D_4__Actinopteri;D_5__Neopterygii;D_6__Anabantiformes;D_7__Channoidei;D_8__Channidae;D_9__;D_10__Channa
GAXJ01009889.129.2226	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Diplura;D_5__;D_6__Diplura;D_7__Dicellurata;D_8__Japygidae;D_9__Japyginae;D_10__Occasjapyx
GBCZ01006660.5105.6944	D_0__Eukaryota;D_1__Metazoa;D_2__Mollusca;D_3__;D_4__Gastropoda;D_5__Orthogastropoda;D_6__;D_7__Aplysiomorpha;D_8__Aplysiidae;D_9__;D_10__Aplysia
GAJX01000019.410.2325	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Hemiptera;D_7__;D_8__Coreidae;D_9__;D_10__Clavigralla
GDJG01018232.4026.5819	D_0__Eukaryota;D_1__Plantae;D_2__Streptophyta;D_3__Streptophytina;D_4__;D_5__;D_6__Caryophyllales;D_7__;D_8__Caryophyllaceae;D_9__;D_10__Silene
GDGH01041601.1249.3033	D_0__Eukaryota;D_1__Plantae;D_2__Streptophyta;D_3__Streptophytina;D_4__;D_5__rosids;D_6__Fabales;D_7__;D_8__Fabaceae;D_9__Dialioideae;D_10__Zenia
GBGO01022746.1.1787	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Crustacea;D_4__Maxillopoda;D_5__Copepoda;D_6__Calanoida;D_7__;D_8__Temoridae;D_9__;D_10__Eurytemora
GEBN01002120.495.1907	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GAIU01063869.223.2013	D_0__Eukaryota;D_1__Alveolata;D_2__Myzozoa;D_3__Dinozoa;D_4__Dinophyceae;D_5__;D_6__Gonyaulacales;D_7__;D_8__Gonyaulacaceae;D_9__;D_10__Alexandrium
GAYF02031333.5464.7352	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Hemiptera;D_7__Auchenorrhyncha;D_8__Delphacidae;D_9__Delphacinae;D_10__Nilaparvata
GEBN01016255.2006.3265	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEBN01019189.947.2224	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEBN01023064.26.1643	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEBN01023247.646.2465	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEBN01030134.2.1737	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEBN01033126.652.2469	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEBN01037800.690.2077	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEBN01042530.262.1550	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEGF01008487.22.1848	D_0__Eukaryota;D_1__Metazoa;D_2__Chordata;D_3__Craniata;D_4__Amphibia;D_5__;D_6__Anura;D_7__Neobatrachia;D_8__Rhacophoridae;D_9__Rhacophorinae;D_10__Rhacophorus
GAJY01000007.1.1860	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Thysanoptera;D_7__Terebrantia;D_8__Thripidae;D_9__Thripinae;D_10__Megalurothrips
GEBN01046730.658.1969	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEGR01000582.3903.5630	D_0__Eukaryota;D_1__Fungi;D_2__Ascomycota;D_3__Pezizomycotina;D_4__Sordariomycetes;D_5__Xylariomycetidae;D_6__Xylariales;D_7__;D_8__Apiosporaceae;D_9__;D_10__Arthrinium
GEBN01050890.654.2028	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GEBN01051720.2.1233	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
GATI02021884.567.2551	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Diptera;D_7__Brachycera;D_8__Bombyliidae;D_9__Bombyliinae;D_10__Bombylius
GAVX01002546.7709.9610	D_0__Eukaryota;D_1__Metazoa;D_2__Arthropoda;D_3__Hexapoda;D_4__Insecta;D_5__Pterygota;D_6__Phasmatodea;D_7__Timematodea;D_8__Timematidae;D_9__;D_10__Timema
GEBN01061290.949.2854	D_0__Eukaryota;D_1__Metazoa;D_2__Nematoda;D_3__;D_4__Enoplea;D_5__Dorylaimia;D_6__Trichocephalida;D_7__;D_8__Trichinellidae;D_9__;D_10__Trichinella
